bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
212591,81,LD12,4,Passed,2011-03-22,"Resolve, Regarding Legislative Review of Portions of Chapter 131: The Maine Federal, State and Local Accountability Standards, a Major Substantive Rule of the Department of Education","Resolve, Regarding Legislative Review of Portions of Chapter 131: The Maine Federal, State and Local Accountability Standards, a Major Substantive Rule of the Department of Education",0,,2011-03-23,"(S) FINALLY PASSED - Emergency 2/3 Elected Required in concurrence",https://legiscan.com/ME/bill/LD12/2011,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=12&snum=125
212592,81,LD13,4,Passed,2011-03-22,"Resolve, Regarding Legislative Review of Portions of Chapter 316: Long-Term Contracting and Resource Adequacy, a Major Substantive Rule of the Public Utilities Commission","Resolve, Regarding Legislative Review of Portions of Chapter 316: Long-Term Contracting and Resource Adequacy, a Major Substantive Rule of the Public Utilities Commission",0,,2011-03-23,"(S) FINALLY PASSED - Emergency 2/3 Elected Required in concurrence",https://legiscan.com/ME/bill/LD13/2011,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=13&snum=125
212593,81,LD14,4,Passed,2011-03-03,"Resolve, Regarding Legislative Review of the Final Repeal of Chapter 270: Adjustment of Volume Fees, a Major Substantive Rule of the Department of Professional and Financial Regulation","Resolve, Regarding Legislative Review of the Final Repeal of Chapter 270: Adjustment of Volume Fees, a Major Substantive Rule of the Department of Professional and Financial Regulation",0,,2011-03-15,"(S) Taken from the table by the President FINALLY PASSED in concurrence",https://legiscan.com/ME/bill/LD14/2011,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=14&snum=125
212594,81,LD15,4,Passed,2011-03-03,"Resolve, Regarding Legislative Review of Chapter 285: Adjustment of Non-bank Mortgage Lending Fees, a Major Substantive Rule of the Department of Professional and Financial Regulation","Resolve, Regarding Legislative Review of Chapter 285: Adjustment of Non-bank Mortgage Lending Fees, a Major Substantive Rule of the Department of Professional and Financial Regulation",0,,2011-03-15,"(S) Taken from the table by the President FINALLY PASSED in concurrence",https://legiscan.com/ME/bill/LD15/2011,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=15&snum=125
212595,81,LD16,6,Failed,2011-05-10,"An Act To Revise Notification Requirements for Pesticides Applications Using Aircraft or Air-carrier Equipment","An Act To Revise Notification Requirements for Pesticides Applications Using Aircraft or Air-carrier Equipment",0,,2011-05-10,"(S) Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD)",https://legiscan.com/ME/bill/LD16/2011,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=16&snum=125
212596,81,LD17,6,Failed,2011-05-25,"An Act To Reform the Land Use and Planning Authority within the Unorganized Territories of the State","An Act To Reform the Land Use and Planning Authority within the Unorganized Territories of the State",0,,2011-05-25,"(S) Under suspension of the Rules Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD)",https://legiscan.com/ME/bill/LD17/2011,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=17&snum=125
212597,81,LD18,6,Failed,2011-05-17,"An Act To Extend the School Year","An Act To Extend the School Year",0,,2011-05-17,"(H) Placed in the Legislative Files. (DEAD)",https://legiscan.com/ME/bill/LD18/2011,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=18&snum=125
212598,81,LD19,4,Passed,2011-02-03,"An Act To Change the Annual Meeting Date and Fiscal Year of Mount Desert Island Regional School District","An Act To Change the Annual Meeting Date and Fiscal Year of Mount Desert Island Regional School District",0,,2011-02-03,"(S) PASSED TO BE ENACTED - Emergency -2/3 Elected Required in concurrence Ordered sent down forthwith for concurrence",https://legiscan.com/ME/bill/LD19/2011,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=19&snum=125
212599,81,LD20,4,Passed,2011-05-10,"An Act Establishing a Vietnam War Remembrance Day","An Act Establishing a Vietnam War Remembrance Day",0,,2011-05-11,"(S) 33 Yeas - 0 Nays- 1 Excused - 0 Absent",https://legiscan.com/ME/bill/LD20/2011,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=20&snum=125
212600,81,LD21,6,Failed,2011-06-30,"An Act To Exempt from the Sales Tax Meals Provided at Retirement Facilities","An Act To Exempt from the Sales Tax Meals Provided at Retirement Facilities",0,,2011-06-30,"(S) IN POSSESSION OF THE SENATE WHEN THE SENATE ADJOURNED SINE DIE AND PLACED IN THE LEGISLATIVE FILES (DEAD)",https://legiscan.com/ME/bill/LD21/2011,http://www.mainelegislature.org/legis/bills/display_ps.asp?LD=21&snum=125
