people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
8743,"Troy Jackson",Troy,Dale,Jackson,,,1,D,2,Sen,SD-001,6454231,36809,,Troy_Dale_Jackson,212794,0
8744,"John Martin",John,L.,Martin,,,1,D,1,Rep,HD-151,6373833,6674,,John_L._Martin,195565,0
8757,"William Diamond",William,,Diamond,,Bill,1,D,2,Sen,SD-026,6454114,36723,,Bill_Diamond,573118,0
8773,"Roger Sherman",Roger,L.,Sherman,,,2,R,1,Rep,HD-144,6571748,19565,,Roger_Sherman,195552,0
8780,"Susan Austin",Susan,,Austin,,,2,R,1,Rep,HD-067,13001887,37206,,Susan_Austin,212743,0
8785,"Seth Berry",Seth,Allan,Berry,,,1,D,1,Rep,HD-055,6474821,57592,,Seth_Berry,250752,0
8786,"Bruce Bickford",Bruce,A.,Bickford,,,2,R,1,Rep,HD-063,6674044,103524,,Bruce_Bickford,272095,0
8793,"Mark Bryant",Mark,E.,Bryant,,,1,D,1,Rep,HD-024,6453999,37139,,Mark_Bryant,228265,0
8800,"Richard Cebra",Richard,M.,Cebra,,,2,R,1,Rep,HD-068,6657586,37068,,Richard_Cebra,228262,0
8814,"Andre Cushing",Andre,E.,Cushing,III,,2,R,2,Sen,SD-010,6674087,103477,,Andre_Cushing_III,272087,0
8815,"Paul Davis",Paul,T.,Davis,Sr.,,2,R,2,Sen,SD-004,6568945,19594,,Paul_T._Davis,272082,0
8819,"Robert Duchesne",Robert,S.,Duchesne,,,1,D,1,Rep,HD-121,6454123,36552,,Robert_Duchesne,228231,0
8836,"James Hamper",James,Michael,Hamper,,,2,R,2,Sen,SD-019,6657700,37238,,James_Hamper,228261,0
8839,"Lance Harvell",Lance,E.,Harvell,,,2,R,1,Rep,HD-089,13001960,36621,,Lance_Harvell,276271,0
8842,"Dawn Hill",Dawn,,Hill,,,1,D,2,Sen,SD-035,6474984,56984,,Dawn_Hill,250799,0
8844,"George Hogan",George,W.,Hogan,,,1,D,1,Rep,HD-013,6454218,36817,,George_Hogan,228274,0
8856,"Brian Langley",Brian,D.,Langley,,,2,R,2,Sen,SD-007,6674158,103470,,Brian_Langley,272086,0
8879,"Anne Perry",Anne,C.,Perry,,,1,D,1,Rep,HD-140,6391434,36577,,Anne_Perry,212786,0
8893,"Kimberley Rosen",Kimberley,C.,Rosen,,,2,R,2,Sen,SD-008,6665937,37040,,Kimberley_Rosen,228242,0
8898,"Thomas Saviello",Thomas,B.,Saviello,,,2,R,2,Sen,SD-017,6411327,36956,,Thomas_Saviello,212758,0
8909,"Michael Thibodeau",Michael,D.,Thibodeau,,,2,R,2,Sen,SD-011,6672631,65844,,Michael_Thibodeau,250736,0
10321,"Russell Black",Russell,J.,Black,,,2,R,1,Rep,SD-017,6683522,121044,,Russell_Black,291713,0
10325,"Ralph Chapman",Ralph,,Chapman,,,1,D,1,Rep,HD-133,6501307,120973,,Ralph_Chapman,291659,0
10326,"Benjamin Chipman",Benjamin,M.,Chipman,,,1,D,2,Sen,SD-027,6535860,127853,,Benjamin_Chipman,311481,0
10331,"James Dill",James,F.,Dill,,,1,D,2,Sen,SD-005,6501252,120946,,James_Dill_(Maine),291634,0
10332,"Mark Dion",Mark,N.,Dion,,,1,D,2,Sen,SD-028,6512210,19477,,Mark_Dion,311478,0
10333,"Dana Dow",Dana,L.,Dow,,,2,R,2,Sen,SD-013,6657626,36789,,Dana_Dow,228287,0
10335,"Eleanor Espling",Eleanor,M.,Espling,,,2,R,1,Rep,HD-065,6681736,121057,,Eleanor_Espling,289989,0
10338,"Kenneth Fredette",Kenneth,Wade,Fredette,,,2,R,1,Rep,HD-100,6628906,19554,,Kenneth_Fredette,291646,0
10339,"James Gillway",James,S.,Gillway,,,2,R,1,Rep,HD-098,6683325,120981,,James_Gillway,289964,0
10341,"Stacey Guerin",Stacey,K.,Guerin,,,2,R,1,Rep,SD-010,6683271,120954,,Stacey_Guerin,291641,0
10343,"Erin Herbig",Erin,D.,Herbig,,,1,D,1,Rep,SD-011,6501328,120985,,Erin_Herbig,289966,0
10347,"Walter Kumiega",Walter,A.,Kumiega,III,,1,D,1,Rep,HD-134,6501301,120971,,Walter_Kumiega,289961,0
10350,"Thomas Longstaff",Thomas,,Longstaff,,,1,D,1,Rep,HD-109,6512197,127846,,Thomas_Longstaff,311475,0
10351,"Louis Luchini",Louis,Joseph,Luchini,Jr.,,1,D,1,Rep,SD-007,6501315,120977,,Louis_Luchini,289963,0
10352,"Joyce Maker",Joyce,A.,Maker,,,2,R,2,Sen,SD-006,6683287,120967,,Joyce_Maker,291653,0
10353,"Richard Malaby",Richard,S.,Malaby,,,2,R,1,Rep,HD-136,6674169,103463,,Richard_Malaby,289960,0
10363,"Beth O'Connor",Beth,A.,O'Connor,,,2,R,1,Rep,HD-005,6674178,103652,,Beth_O%27Connor,293204,0
