bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
897697,658150,2017-06-06,House,"Acc Maj Otp As Amended Rep RC #245",122,24,0,5,151
897697,659170,2017-06-07,Senate,"Accept Maj Otp-a Rpt RC #242",35,0,0,0,35
897721,661141,2017-06-07,House,"Acc Maj Ought Not To Pass Rep RC #262",78,70,0,3,151
897721,664892,2017-06-15,Senate,"Adhere RC #303",34,1,0,0,35
897745,625539,2017-04-11,House,"Reconsideration - Veto RC #25",106,37,0,8,151
897745,625540,2017-04-13,Senate,"Veto Override (2/3) RC #69",31,1,0,3,35
897770,611719,2017-03-21,House,"Enactment - Emer RC #16",116,26,0,9,151
897770,611720,2017-03-23,Senate,"Enact-emer 2/3 Elect RC #48",34,0,0,1,35
897803,616607,2017-03-28,Senate,"Accept Min Ontp Rpt RC #51",18,15,0,2,35
897860,661120,2017-06-08,House,"Acc Maj Otp As Amended Rep RC #274",132,15,0,4,151
897860,766566,2018-06-21,House,"Recede And Concur RC #681",118,17,0,16,151
897860,766567,2018-06-21,Senate,"Enactment RC #698",30,1,0,4,35
897860,769854,2018-07-09,House,"Reconsideration - Veto RC #715",133,9,0,9,151
897860,769855,2018-07-09,Senate,"Reconsideration - Veto RC #727",29,4,0,2,35
897993,625552,2017-04-13,House,"Reconsideration - Veto RC #29",146,0,0,5,151
897993,629127,2017-04-18,Senate,"Reconsideration - Veto RC #77",32,2,0,1,35
898061,705002,2018-02-20,House,"Acc Maj Ought Not To Pass Rep RC #492",75,69,0,7,151
898061,717115,2018-03-06,Senate,"Pass To Be Engrossed As Amend RC #526",21,13,0,1,35
898996,634683,2017-04-27,House,"Enactment RC #58",144,0,0,7,151
900055,631526,2017-04-25,House,"Reconsideration - Veto RC #44",77,67,0,7,151
900170,639206,2017-05-02,House,"Reconsideration - Veto RC #62",128,17,0,6,151
900170,639207,2017-05-04,Senate,"Reconsideration - Veto RC #105",35,0,0,0,35
900235,601422,2017-03-07,House,"Acc Maj Ought Not To Pass Rep RC #14",77,68,0,6,151
900235,607330,2017-03-21,Senate,"Accept Min Otp Rpt RC #43",18,17,0,0,35
900259,629172,2017-04-20,Senate,"Accept Maj Otp-a Rpt RC #81",34,0,0,1,35
901406,665078,2017-06-19,Senate,"Insist RC #329",27,8,0,0,35
901835,663512,2017-06-15,House,"Acc Report 'a' Otp As Amend RC #319",85,53,0,13,151
901835,664738,2017-06-19,Senate,"Accept Rpt 'a' Otp-a RC #337",34,1,0,0,35
902556,660680,2017-06-07,Senate,"Reconsideration - Veto RC #232",33,2,0,0,35
902556,660681,2017-06-07,House,"Reconsideration - Veto RC #268",81,65,0,5,151
902568,608455,2017-03-21,Senate,"Accept Min Ontp Rpt RC #45",18,17,0,0,35
902568,611603,2017-03-23,House,"Acc Maj Otp As Amended Rep RC #17",75,69,0,7,151
902583,611768,2017-03-23,Senate,"Enactment RC #49",34,0,0,1,35
902599,661255,2017-06-07,Senate,"Accept Min Otp-a Rpt RC #244",16,19,0,0,35
902615,648951,2017-05-24,Senate,"Accept Min Otp-a Rpt RC #171",16,19,0,0,35
902615,659268,2017-06-07,House,"Acc Maj Ought Not To Pass Rep RC #260",77,69,0,5,151
902647,736504,2018-04-11,House,"Enactment - Mandate RC #590",91,48,0,12,151
902647,737770,2018-04-12,Senate,"Enact-mandate 2/3 Elect RC #615",32,3,0,0,35
902647,764641,2018-06-19,Senate,"Recede And Concur RC #676",4,31,0,0,35
902647,764642,2018-06-19,House,"Recede And Concur RC #671",84,50,0,17,151
902647,769841,2018-07-09,Senate,"Reconsideration - Veto RC #707",31,3,0,1,35
902647,769842,2018-07-09,House,"Reconsideration - Veto RC #727",93,50,0,8,151
902664,644748,2017-05-16,Senate,"Accept Min Otp-a Rpt ""b"" RC #138",16,19,0,0,35
902664,645292,2017-05-17,House,"Acc Maj Otp As Amended Rep RC #109",77,67,0,7,151
902697,643022,2017-05-11,Senate,"Accept Min Otp-a Rpt RC #128",7,25,0,3,35
902711,666473,2017-06-19,Senate,"Acceptance Of Report RC #346",26,9,0,0,35
902729,645193,2017-05-16,House,"Acc Min Ought Not To Pass Rep RC #98",76,70,0,5,151
905569,633731,2017-04-27,House,"Acc Maj Otp As Amended Rep RC #59",50,93,0,8,151
905616,717100,2017-05-09,House,"Acc Maj Otp As Amended Rep RC #79",111,34,0,6,151
905616,717101,2017-06-06,House,"Reconsideration - Veto RC #235",114,31,0,6,151
905616,717102,2017-05-16,Senate,"Accept Maj Otp-a Rpt 'a' RC #140",32,3,0,0,35
905616,717103,2017-06-07,Senate,"Reconsideration - Veto RC #238",29,6,0,0,35
905647,648661,2017-05-23,House,"Acc Min Otp As Amended Rep RC #138",77,67,0,7,151
905647,652216,2017-05-24,Senate,"Accept Maj Ontp Rpt RC #161",9,26,0,0,35
