bill_id,people_id,position
891162,8744,116
891162,8757,15
891162,8773,150
891162,8780,35
891162,8785,43
891162,8786,44
891162,8793,49
891162,8800,53
891162,8814,11
891162,8815,13
891162,8819,66
891162,8836,20
891162,8839,90
891162,8842,21
891162,8844,97
891162,8856,24
891162,8879,133
891162,8893,28
891162,8898,29
891162,8909,1
891162,10321,45
891162,10325,55
891162,10326,9
891162,10331,16
891162,10332,17
891162,10333,18
891162,10339,77
891162,10341,82
891162,10347,105
891162,10350,108
891162,10351,109
891162,10352,25
891162,10353,113
891162,10363,127
891162,10366,131
891162,10367,134
891162,10370,146
891162,10371,152
891162,10372,166
891162,10379,177
891162,10381,178
891162,11874,10
891162,11890,22
891162,11976,31
891162,12720,170
891162,13221,88
891162,13876,173
891162,13884,124
891162,14714,60
891162,14716,68
891162,14717,75
891162,14718,2
891162,14719,84
891162,14720,94
891162,14722,104
891162,14725,121
891162,14726,125
891162,14729,138
891162,14732,155
891162,14742,19
891162,14747,26
891162,15041,41
891162,15045,126
891162,15047,147
891162,15270,8
891162,15273,79
891162,15275,107
891162,15278,122
891162,15391,98
891162,15392,101
891162,15402,57
891162,15404,102
891162,15406,141
891162,15702,143
891162,15729,118
891162,15744,61
891162,15747,114
891162,15748,167
891162,15773,73
891162,15775,50
891162,15889,63
891162,16089,30
891162,16614,4
891162,16631,34
891162,16632,40
891162,16633,54
891162,16634,65
891162,16635,71
891162,16637,137
891162,16639,27
891162,16688,37
891162,16689,12
891162,16697,115
891162,16780,69
891162,16781,72
891162,16782,76
891162,16784,156
891162,16785,165
891162,16786,169
891162,16787,32
891162,16852,5
891162,16853,86
891162,16877,103
891162,17105,39
891162,17106,67
891162,17107,163
891162,17108,168
891162,17215,87
891162,17216,136
891162,17217,153
891162,17270,64
891162,17271,96
891162,17272,110
891162,17273,123
891162,17275,175
891162,17330,48
891162,17332,58
891162,17333,78
891162,17334,81
891162,17335,92
891162,17336,139
891162,17337,157
891162,17339,171
891162,17340,172
891162,17341,176
891162,17441,95
891162,17452,120
891162,17506,174
891162,17531,91
891162,17532,148
891162,17533,46
891162,17564,99
891162,17584,93
891162,17585,135
891162,17667,42
891162,17788,89
891162,17789,129
891162,17934,14
891162,18172,33
891162,18173,36
891162,18174,38
891162,18175,3
891162,18176,47
891162,18177,51
891162,18178,6
891162,18179,7
891162,18180,52
891162,18181,56
891162,18182,59
891162,18183,62
891162,18184,70
891162,18185,74
891162,18186,140
891162,18187,80
891162,18188,83
891162,18189,85
891162,18190,100
891162,18191,23
891162,18192,106
891162,18193,111
891162,18194,112
891162,18195,117
891162,18196,119
891162,18197,128
891162,18198,130
891162,18199,132
891162,18200,142
891162,18201,144
891162,18202,145
891162,18203,149
891162,18204,151
891162,18205,154
891162,18206,158
891162,18207,159
891162,18208,160
891162,18209,161
891162,18210,162
891162,18211,164
891162,18212,179
897441,8757,2
897441,10350,8
897441,10351,9
897441,15047,10
897441,15404,1
897441,15889,4
897441,16689,3
897441,16780,6
897441,16853,7
897441,17270,5
897574,8839,5
897574,10363,6
897574,10381,1
897574,16637,7
897574,16689,2
897574,16780,4
897574,17106,3
897574,18204,8
897595,10332,3
897595,14714,6
897595,14726,8
897595,15273,7
897595,15889,1
897595,16631,4
897595,17533,5
897595,18178,2
897625,10335,1
897625,16614,2
897645,8757,2
897645,10335,1
897645,17215,3
897670,10347,1
897697,8757,2
897697,8814,4
897697,11874,3
897697,14732,9
897697,16631,5
897697,16637,8
897697,16697,7
897697,17332,1
897697,17584,6
897721,8786,4
897721,10367,1
897721,10379,10
897721,11976,2
897721,15406,7
897721,16631,3
897721,16781,6
897721,16786,9
897721,17337,8
897721,18176,5
897745,8836,2
897745,17333,1
897770,8744,8
897770,8815,3
897770,10331,2
897770,10333,4
897770,10352,5
897770,15889,1
897770,16631,6
897770,16786,10
897770,17217,9
897770,17441,7
897803,8815,2
897803,13876,7
897803,16637,6
897803,17215,1
897803,17789,5
897803,18176,3
897803,18190,4
897860,10352,2
897860,10367,9
897860,15045,8
897860,16631,3
897860,16781,5
897860,16786,1
897860,16853,6
897860,17332,4
897860,17585,10
897860,18190,7
897924,10367,6
897924,11874,2
897924,15729,5
897924,15747,4
897924,16781,1
897924,16786,8
897924,17339,9
897924,17341,10
897924,17441,3
897924,18206,7
897993,8757,2
897993,10326,3
897993,10332,5
897993,10350,8
897993,11874,4
897993,14716,6
