bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1136386,1834075,text,178649,application/pdf,Introduced,https://legiscan.com/ME/text/LD3/id/1834075,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0004&item=1&snum=129
1136350,1834038,text,158523,application/pdf,Introduced,https://legiscan.com/ME/text/LD4/id/1834038,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0005&item=1&snum=129
1136286,1833919,text,155550,application/pdf,Introduced,https://legiscan.com/ME/text/LD5/id/1833919,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0006&item=1&snum=129
1136286,1967922,text,78720,application/pdf,Amended,https://legiscan.com/ME/text/LD5/id/1967922,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0006&item=2&snum=129
1136286,1992670,text,73644,application/pdf,Chaptered,https://legiscan.com/ME/text/LD5/id/1992670,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0006&item=3&snum=129
1136372,1834061,text,162792,application/pdf,Introduced,https://legiscan.com/ME/text/LD6/id/1834061,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0007&item=1&snum=129
1136448,1834137,text,152757,application/pdf,Introduced,https://legiscan.com/ME/text/LD7/id/1834137,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0008&item=1&snum=129
1136448,1954252,text,63631,application/pdf,Chaptered,https://legiscan.com/ME/text/LD7/id/1954252,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0008&item=2&snum=129
1136404,1834093,text,159191,application/pdf,Introduced,https://legiscan.com/ME/text/LD8/id/1834093,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0009&item=1&snum=129
1136404,1999894,text,73046,application/pdf,Amended,https://legiscan.com/ME/text/LD8/id/1999894,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0009&item=2&snum=129
1136404,2015423,text,77170,application/pdf,Chaptered,https://legiscan.com/ME/text/LD8/id/2015423,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0009&item=3&snum=129
1136418,1834107,text,152709,application/pdf,Introduced,https://legiscan.com/ME/text/LD9/id/1834107,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0010&item=1&snum=129
1136411,1834100,text,150208,application/pdf,Introduced,https://legiscan.com/ME/text/LD10/id/1834100,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0011&item=1&snum=129
1136311,1833997,text,162592,application/pdf,Introduced,https://legiscan.com/ME/text/LD11/id/1833997,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0012&item=1&snum=129
1136394,1834083,text,169951,application/pdf,Introduced,https://legiscan.com/ME/text/LD12/id/1834083,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0013&item=1&snum=129
1136326,1834013,text,169804,application/pdf,Introduced,https://legiscan.com/ME/text/LD13/id/1834013,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0014&item=1&snum=129
1136341,1834028,text,168402,application/pdf,Introduced,https://legiscan.com/ME/text/LD14/id/1834028,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0015&item=1&snum=129
