bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1903003,3039691,text,182005,application/pdf,Introduced,https://legiscan.com/ME/text/LD39/id/3039691,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0003&item=1&snum=132
1902946,3039637,text,162162,application/pdf,Introduced,https://legiscan.com/ME/text/LD40/id/3039637,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0004&item=1&snum=132
1903317,3039984,text,202669,application/pdf,Introduced,https://legiscan.com/ME/text/LD41/id/3039984,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0005&item=1&snum=132
1903084,3039766,text,163045,application/pdf,Introduced,https://legiscan.com/ME/text/LD42/id/3039766,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0006&item=1&snum=132
1903178,3039855,text,159947,application/pdf,Introduced,https://legiscan.com/ME/text/LD43/id/3039855,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0007&item=1&snum=132
1903127,3039807,text,178089,application/pdf,Introduced,https://legiscan.com/ME/text/LD44/id/3039807,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0008&item=1&snum=132
1903050,3039735,text,161291,application/pdf,Introduced,https://legiscan.com/ME/text/LD45/id/3039735,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0009&item=1&snum=132
1903108,3039788,text,188851,application/pdf,Introduced,https://legiscan.com/ME/text/LD46/id/3039788,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0010&item=1&snum=132
1903214,3039889,text,167457,application/pdf,Introduced,https://legiscan.com/ME/text/LD47/id/3039889,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0011&item=1&snum=132
1903113,3039793,text,168368,application/pdf,Introduced,https://legiscan.com/ME/text/LD48/id/3039793,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0012&item=1&snum=132
