bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1903030,1539818,2025-04-08,House,"Acc Maj Ought Not To Pass Rep RC #70",76,69,0,6,151
1903030,1544235,2025-04-10,Senate,"Accept Majority Ought Not To Pass Report RC #99",20,14,0,1,35
1903047,1539915,2025-04-08,House,"Acc Maj Ought Not To Pass Rep RC #71",77,67,0,7,151
1903047,1544382,2025-04-10,Senate,"Accept Majority Ought Not To Pass Report RC #100",20,14,0,1,35
1903113,1536301,2025-04-03,House,"Otp-am RC #67",142,0,0,9,151
1903166,1526108,2025-03-25,House,"Acc Maj Ought To Pass Rep RC #55",78,64,0,9,151
1903166,1528791,2025-03-27,Senate,"Accept Majority Ought To Pass Report RC #76",24,9,0,2,35
1903269,1543672,2025-04-10,House,"Acc Maj Ought To Pass Rep RC #79",144,0,0,7,151
1903277,1525958,2025-03-25,House,"Acc Maj Ought To Pass Rep RC #58",85,58,0,8,151
1903277,1528634,2025-03-27,Senate,"Accept Majority Ought To Pass Report RC #79",27,6,0,2,35
1903287,1539444,2025-04-08,Senate,"Accept Majority Ought To Pass Report RC #93",24,8,0,3,35
1903291,1525884,2025-03-25,House,"Acc Maj Ought To Pass Rep RC #57",83,60,0,8,151
1903291,1529126,2025-03-27,Senate,"Accept Majority Ought To Pass Report RC #78",30,3,0,2,35
1904135,1526194,2025-03-25,House,"Acc Maj Ought To Pass Rep RC #59",78,66,0,7,151
1904135,1528984,2025-03-27,Senate,"Accept Majority Ought To Pass Report RC #80",19,14,0,2,35
1904135,1532910,2025-04-01,House,"Enactment RC #64",72,68,0,11,151
1915842,1523322,2025-03-20,House,"Acc Maj Ought Not To Pass Rep RC #45",76,66,0,9,151
1916949,1471399,2025-01-14,Senate,"Passage RC #4",15,19,0,1,35
1916959,1471659,2025-01-14,Senate,"Passage RC #3",15,18,0,2,35
1916970,1471383,2025-01-14,Senate,"Passage RC #5",16,19,0,0,35
1916980,1471658,2025-01-14,Senate,"Passage RC #7",16,18,0,1,35
1916991,1471660,2025-01-14,Senate,"Passage RC #2",22,12,0,1,35
1917001,1471398,2025-01-14,Senate,"Passage RC #6",16,18,0,1,35
1917328,1472847,2025-01-21,House,"Rule Comm RC #2",72,66,0,12,150
1918872,1486739,2025-02-11,House,"Otp-am RC #3",74,71,0,5,150
