roll_call_id,people_id,vote,vote_desc
1539818,8810,2,Nay
1539818,8855,1,Yea
1539818,8874,2,Nay
1539818,10331,1,Yea
1539818,10338,2,Nay
1539818,10340,1,Yea
1539818,10366,2,Nay
1539818,14717,1,Yea
1539818,14726,1,Yea
1539818,15729,1,Yea
1539818,15775,2,Nay
1539818,16635,1,Yea
1539818,16781,2,Nay
1539818,16786,2,Nay
1539818,16787,2,Nay
1539818,17214,2,Nay
1539818,17340,2,Nay
1539818,18204,2,Nay
1539818,21189,2,Nay
1539818,21191,2,Nay
1539818,21192,1,Yea
1539818,21195,1,Yea
1539818,21197,1,Yea
1539818,21201,1,Yea
1539818,21203,1,Yea
1539818,21204,2,Nay
1539818,21205,2,Nay
1539818,21208,2,Nay
1539818,21209,1,Yea
1539818,21210,2,Nay
1539818,21212,2,Nay
1539818,21214,1,Yea
1539818,21218,2,Nay
1539818,21219,1,Yea
1539818,21223,1,Yea
1539818,21226,1,Yea
1539818,21228,2,Nay
1539818,21230,1,Yea
1539818,21232,1,Yea
1539818,21233,2,Nay
1539818,21235,1,Yea
1539818,21236,2,Nay
1539818,21273,2,Nay
1539818,22294,1,Yea
1539818,22348,4,Absent
1539818,22693,2,Nay
1539818,22694,1,Yea
1539818,22695,1,Yea
1539818,22698,1,Yea
1539818,22699,2,Nay
1539818,22700,2,Nay
1539818,22701,2,Nay
1539818,22703,1,Yea
1539818,22705,1,Yea
1539818,22706,4,Absent
1539818,22707,1,Yea
1539818,22709,1,Yea
1539818,22711,1,Yea
1539818,22712,2,Nay
1539818,22713,1,Yea
1539818,22715,1,Yea
1539818,22717,1,Yea
1539818,22718,1,Yea
1539818,22720,1,Yea
1539818,22750,2,Nay
1539818,22766,1,Yea
1539818,22837,1,Yea
1539818,22838,2,Nay
1539818,22867,1,Yea
1539818,22868,2,Nay
1539818,23239,1,Yea
1539818,23240,2,Nay
1539818,23241,2,Nay
1539818,23242,1,Yea
1539818,23243,2,Nay
1539818,23244,2,Nay
1539818,23245,2,Nay
1539818,23246,2,Nay
1539818,23247,1,Yea
1539818,23248,1,Yea
1539818,23251,1,Yea
1539818,23252,1,Yea
1539818,23253,2,Nay
1539818,23255,1,Yea
1539818,23256,2,Nay
1539818,23257,2,Nay
1539818,23258,2,Nay
1539818,23259,2,Nay
1539818,23261,1,Yea
1539818,23262,4,Absent
1539818,23263,2,Nay
1539818,23264,1,Yea
1539818,23265,1,Yea
1539818,23266,1,Yea
1539818,23267,1,Yea
1539818,23268,1,Yea
1539818,23270,2,Nay
1539818,23271,2,Nay
1539818,23273,2,Nay
1539818,23275,1,Yea
1539818,23276,1,Yea
1539818,23278,1,Yea
1539818,23279,4,Absent
1539818,23280,2,Nay
1539818,23281,1,Yea
1539818,23283,1,Yea
1539818,23284,2,Nay
1539818,23285,2,Nay
1539818,23286,2,Nay
1539818,23288,2,Nay
1539818,23289,2,Nay
1539818,23290,2,Nay
1539818,24489,4,Absent
1539818,25000,1,Yea
1539818,25173,1,Yea
1539818,25928,1,Yea
1539818,25929,2,Nay
1539818,25930,1,Yea
1539818,25931,1,Yea
1539818,25932,2,Nay
1539818,25933,2,Nay
1539818,25934,2,Nay
1539818,25935,2,Nay
1539818,25936,2,Nay
1539818,25937,2,Nay
1539818,25938,1,Yea
1539818,25939,2,Nay
1539818,25940,1,Yea
1539818,25941,2,Nay
1539818,25942,1,Yea
1539818,25943,1,Yea
1539818,25944,2,Nay
1539818,25945,4,Absent
1539818,25946,2,Nay
1539818,25947,1,Yea
1539818,25948,1,Yea
1539818,25949,2,Nay
1539818,25950,2,Nay
1539818,25951,1,Yea
1539818,25952,1,Yea
1539818,25953,2,Nay
1539818,25954,1,Yea
1539818,25955,1,Yea
1539818,25956,1,Yea
1539818,25957,1,Yea
1539818,25958,1,Yea
1539818,25959,1,Yea
1539818,25960,2,Nay
1539818,25961,2,Nay
1539818,25962,1,Yea
1539818,26432,1,Yea
