bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
668005,1132,LD1,4,Passed,2015-03-17,"Resolve, To Name the Route 11 Bridge over the Saco River in Standish and Limington the Veterans Memorial Bridge","Resolve, To Name the Route 11 Bridge over the Saco River in Standish and Limington the Veterans Memorial Bridge",0,,2015-03-18,"FINALLY PASSED - Emergency - 2/3 Elected Required, in concurrence.",https://legiscan.com/ME/bill/LD1/2015,http://legislature.maine.gov/legis/bills/display_ps.asp?LD=1&snum=127
668130,1132,LD2,6,Failed,2016-04-14,"An Act To Authorize a General Fund Bond Issue for the Purchase and Development of the Bar Harbor Ferry Terminal as a Multimodal Transportation Facility","An Act To Authorize a General Fund Bond Issue for the Purchase and Development of the Bar Harbor Ferry Terminal as a Multimodal Transportation Facility",0,,2016-04-14,"Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD)",https://legiscan.com/ME/bill/LD2/2015,http://legislature.maine.gov/legis/bills/display_ps.asp?LD=2&snum=127
668041,1132,LD3,4,Passed,2015-04-28,"An Act To Ensure Consistent Certification of Graduation Standards in Publicly Funded Secondary Schools","An Act To Ensure Consistent Certification of Graduation Standards in Publicly Funded Secondary Schools",0,,2015-04-29,"PASSED TO BE ENACTED - Emergency - 2/3 Elected Required, in concurrence.",https://legiscan.com/ME/bill/LD3/2015,http://legislature.maine.gov/legis/bills/display_ps.asp?LD=3&snum=127
668223,1132,LD4,4,Passed,2015-04-23,"An Act To Promote Industrial Hemp","An Act To Promote Industrial Hemp",0,,2015-06-16,"LD 4 In Senate, June 16, 2015, this Bill, having been returned by the Governor, together with objections to the same pursuant to the provisions of the Constitution of the State of Maine, after reconsideration, the Senate proceeded to vote on the question: ""Shall this Bill become a law notwithstanding the objections of the Governor?"" 28 In Favor and 7 Against , accordingly it was the vote of the Senate that the Bill become law and the VETO was OVERRIDDEN.",https://legiscan.com/ME/bill/LD4/2015,http://legislature.maine.gov/legis/bills/display_ps.asp?LD=4&snum=127
668265,1132,LD5,6,Failed,2015-06-18,"An Act To Increase the Limit on the Number of Patients a Primary Caregiver May Provide for under the Medical Marijuana Laws","An Act To Increase the Limit on the Number of Patients a Primary Caregiver May Provide for under the Medical Marijuana Laws",0,,2015-06-18,"Placed in Legislative Files (DEAD).",https://legiscan.com/ME/bill/LD5/2015,http://legislature.maine.gov/legis/bills/display_ps.asp?LD=5&snum=127
668086,1132,LD6,6,Failed,2016-04-29,"Resolve, To Implement Recommendations of the Government Oversight Committee To Strengthen the Ethics Practices and Procedures for Executive Branch Employees","Resolve, To Implement Recommendations of the Government Oversight Committee To Strengthen the Ethics Practices and Procedures for Executive Branch Employees",0,,2016-04-29,"In possession of the Senate when the Senate ADJOURNED SINE DIE and PLACED IN THE LEGISLATIVE FILES (DEAD).",https://legiscan.com/ME/bill/LD6/2015,http://legislature.maine.gov/legis/bills/display_ps.asp?LD=6&snum=127
668174,1132,LD7,4,Passed,2015-03-12,"Resolve, Regarding Legislative Review of Portions of Chapter 101, MaineCare Benefits Manual, Chapter III, Section 21: Allowances for Home and Community Benefits for Adults with Intellectual Disabilities or Autistic Disorder, a Major Substantive Rule of the Department of Health and Human Services","Resolve, Regarding Legislative Review of Portions of Chapter 101, MaineCare Benefits Manual, Chapter III, Section 21: Allowances for Home and Community Benefits for Adults with Intellectual Disabilities or Autistic Disorder, a Major Substantive Rule of the Department of Health and Human Services",0,,2015-03-17,"FINALLY PASSED - Emergency - 2/3 Elected Required, in concurrence.",https://legiscan.com/ME/bill/LD7/2015,http://legislature.maine.gov/legis/bills/display_ps.asp?LD=7&snum=127
668309,1132,LD8,6,Failed,2016-01-14,"Resolve, Regarding Legislative Review of Portions of Chapter 301: Fee Schedule and Administrative Procedures for Payment of Commission Assigned Counsel, a Major Substantive Rule of the Maine Commission on Indigent Legal Services","Resolve, Regarding Legislative Review of Portions of Chapter 301: Fee Schedule and Administrative Procedures for Payment of Commission Assigned Counsel, a Major Substantive Rule of the Maine Commission on Indigent Legal Services",0,,2016-01-14,"Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD)",https://legiscan.com/ME/bill/LD8/2015,http://legislature.maine.gov/legis/bills/display_ps.asp?LD=8&snum=127
668826,1132,LD9,6,Failed,2015-06-01,"An Act To Retain Call Centers in Maine","An Act To Retain Call Centers in Maine",0,,2015-06-01,"Placed in the Legislative Files (DEAD).",https://legiscan.com/ME/bill/LD9/2015,http://legislature.maine.gov/legis/bills/display_ps.asp?LD=9&snum=127
668921,1132,LD10,4,Passed,2015-04-01,"An Act To Establish Native American Heritage and Culture Day","An Act To Establish Native American Heritage and Culture Day",0,,2015-04-02,"PASSED TO BE ENACTED, in concurrence.",https://legiscan.com/ME/bill/LD10/2015,http://legislature.maine.gov/legis/bills/display_ps.asp?LD=10&snum=127
669018,1132,LD11,6,Failed,2015-07-16,"An Act To Exempt the Sale of the United States Flag from the Sales Tax","An Act To Exempt the Sale of the United States Flag from the Sales Tax",0,,2015-07-16,"The Bill was in the possession of the Senate when the Legislature adjourned Sine Die and was placed in the Legislative Files. (DEAD)",https://legiscan.com/ME/bill/LD11/2015,http://legislature.maine.gov/legis/bills/display_ps.asp?LD=11&snum=127
