people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
8743,"Troy Jackson",Troy,Dale,Jackson,,,1,D,2,Sen,SD-001,6454231,36809,,Troy_Dale_Jackson,212794,0
8744,"John Martin",John,L.,Martin,,,1,D,1,Rep,HD-151,6373833,6674,,John_L._Martin,195565,0
8747,"Margaret Craven",Margaret,M.,Craven,,,1,D,1,Rep,HD-059,6450902,37163,,Margaret_Craven,212766,0
8757,"William Diamond",William,,Diamond,,Bill,1,D,2,Sen,SD-026,6454114,36723,,Bill_Diamond,573118,0
8768,"Joseph Perry",Joseph,C.,Perry,,,1,D,1,Rep,HD-124,6374663,11101,,Joseph_Perry_(Maine),195532,0
8780,"Susan Austin",Susan,,Austin,,,2,R,1,Rep,HD-067,13001887,37206,,Susan_Austin,212743,0
8785,"Seth Berry",Seth,Allan,Berry,,,1,D,1,Rep,HD-055,6474821,57592,,Seth_Berry,250752,0
8786,"Bruce Bickford",Bruce,A.,Bickford,,,2,R,1,Rep,HD-063,6674044,103524,,Bruce_Bickford,272095,0
8793,"Mark Bryant",Mark,E.,Bryant,,,1,D,1,Rep,HD-024,6453999,37139,,Mark_Bryant,228265,0
8800,"Richard Cebra",Richard,M.,Cebra,,,2,R,1,Rep,HD-068,6657586,37068,,Richard_Cebra,228262,0
8815,"Paul Davis",Paul,T.,Davis,Sr.,,2,R,2,Sen,SD-004,6568945,19594,,Paul_T._Davis,272082,0
8831,"Jeffery Gifford",Jeffery,Allen,Gifford,,,2,R,1,Rep,HD-142,6669427,57597,,Jeffery_Gifford,250726,0
8869,"Sawin Millett",Sawin,,Millett,Jr.,,2,R,1,Rep,HD-071,6614298,36661,,"Sawin_Millett,_Jr.",212755,0
8879,"Anne Perry",Anne,C.,Perry,,,1,D,1,Rep,HD-140,6391434,36577,,Anne_Perry,212786,0
8893,"Kimberley Rosen",Kimberley,C.,Rosen,,,2,R,2,Sen,SD-008,6665937,37040,,Kimberley_Rosen,228242,0
8914,"John Tuttle",John,L.,Tuttle,Jr.,,1,D,1,Rep,HD-018,6375965,6728,,John_Tuttle_(Maine),195427,0
10321,"Russell Black",Russell,J.,Black,,,2,R,2,Sen,SD-017,6683522,121044,,Russell_Black,291713,0
10326,"Benjamin Chipman",Benjamin,M.,Chipman,,,1,D,2,Sen,SD-027,6535860,127853,,Benjamin_Chipman,311481,0
10331,"James Dill",James,F.,Dill,,,1,D,2,Sen,SD-005,6501252,120946,,James_Dill_(Maine),291634,0
10341,"Stacey Guerin",Stacey,K.,Guerin,,,2,R,2,Sen,SD-010,6683271,120954,,Stacey_Guerin,291641,0
10351,"Louis Luchini",Louis,Joseph,Luchini,Jr.,,1,D,2,Sen,SD-007,6501315,120977,,Louis_Luchini,289963,0
10363,"Beth O'Connor",Beth,A.,O'Connor,,,2,R,1,Rep,HD-005,6674178,103652,,Beth_O%27Connor,293204,0
10366,"Wayne Parry",Wayne,R.,Parry,,,2,R,1,Rep,HD-010,6674181,103647,,Wayne_Parry,291772,0
10372,"Jeffrey Timberlake",Jeffrey,L.,Timberlake,,,2,R,2,Sen,SD-022,9931674,121048,,Jeffrey_Timberlake,291720,0
14714,"Matthea Larsen Daughtry",Matthea,Elisabeth,"Larsen Daughtry",,,1,D,2,Sen,SD-024,16072377,142892,,Matthea_Daughtry,660564,0
14720,"Craig Hickman",Craig,V.,Hickman,,,1,D,2,Sen,SD-014,6501432,121034,,Craig_Hickman,291709,0
14729,"Matthew Pouliot",Matthew,G.,Pouliot,,,2,R,2,Sen,SD-015,16072373,142890,,Matthew_Pouliot,434102,0
14737,"James Boyle",James,A.,Boyle,,,1,D,1,Rep,HD-027,11022661,137187,,James_Boyle,399467,0
14747,"Rebecca Millett",Rebecca,J.,Millett,,,1,D,1,Rep,HD-030,9946879,137189,,Rebecca_Millett,399473,0
15044,"Nathan Libby",Nathan,,Libby,,,1,D,2,Sen,SD-021,11022695,137301,,Nathan_Libby,403783,0
15403,"Jeffrey Evangelos",Jeffrey,P.,Evangelos,,,3,I,1,Rep,HD-091,6454140,37169,,Jeff_Evangelos,426041,0
15823,"Stephen Moriarty",Stephen,W.,Moriarty,,,1,D,1,Rep,HD-045,11022708,137342,,Stephen_Moriarty,403866,0
16089,"Eloise Vitelli",Eloise,A.,Vitelli,,,1,D,2,Sen,SD-023,9947092,144905,,Eloise_Vitelli,466826,0
16631,"Robert Alley",Robert,W.,Alley,Sr.,,1,D,1,Rep,HD-138,23424301,151337,,Robert_Alley,491261,0
16634,"Donna Doore",Donna,R.,Doore,,,1,D,1,Rep,HD-085,23424277,80949,,Donna_Doore,493135,0
16635,"Ryan Fecteau",Ryan,M.,Fecteau,,,1,D,1,Rep,HD-011,23424246,151397,,Ryan_Fecteau,490397,0
16639,"David Miramant",David,R.,Miramant,,,1,D,2,Sen,SD-012,6454321,36796,,David_Miramant,250738,0
